0CAA,EDP  ACCTG                                                                                                    
9CAA,GEOG  BIOGEO MEDICAL                                                                                          
9CAB,GEOG  BIOGEO PHYTOGEOGRAPHY                                                                                   
9CAC,GEOG  BIOGEO ZOOGEOGRAPHY                                                                                     
9CAX,GEOG  BIOGEO OTHER                                                                                            
9CAY,GEOG  BIOGEOGRAPHY                                                                                            
9CBA,GEOG CULT  HISTORICAL                                                                                         
9CBB,GEOG CULT  PHILOSOPHY OF                                                                                      
9CBC,GEOG CULT  POLITICAL                                                                                          
9CBD,GEOG CULT  POPULATION                                                                                         
9CBE,ECON CULT  REGIONAL                                                                                           
9CBF,ECON CULT  SETTLEMENT                                                                                         
9CBG,ECON CULT  THEORETICAL                                                                                        
9CBH,ECON CULT  TOPONOMY                                                                                           
9CBI,ECON CULT  URBAN                                                                                              
9CBX,ECON CULT  OTHER                                                                                              
9CBY,GEOG  CULTURAL                                                                                                
9CCA,ECON ECON  AGRICULTURAL                                                                                       
9CCB,ECON ECON  MANUFACTURING                                                                                      
9CCC,ECON ECON  MARKETING                                                                                          
9CCD,ECON ECON  RESOURCE                                                                                           
9CCE,ECON ECON  TRANSPORTATION                                                                                     
9CCX,ECON ECON  OTHER                                                                                              
9CCY,ECON ECONOMIC                                                                                                 
9CDY,ECON  MILITARY                                                                                                
9CEY,9CEY-UNKNOWN                                                                                                  
9CXY,GEOGRAPHY  OTHER                                                                                              
9CYY,GEOGRAPHY                                                                                                     
9DAA,HIST AFRICA EAST CENTRAL                                                                                      
9DAB,HIST AFRICA NORTH AFRICA                                                                                      
9DAC,HIST AFRICA SOUTH AFRICA                                                                                      
9DAD,HIST AFRICA WEST CENTRAL                                                                                      
9DAX,HIST AFRICA OTHER                                                                                             
9DAY,HISTORY  AFRICA                                                                                               
9DBY,HISTORY  ANCIENT                                                                                              
9DCA,HIST EA EUROPE/BALK BALKANS                                                                                   
9DCB,HIST EA EUROPE/BALK SLAVIC                                                                                    
9DCX,HIST EA EUROPE/BALK OTHER                                                                                     
9DCY,HIST EAST EUROPE/BALKANS                                                                                      
9DDA,HIST FAR EAST AUST  NZELND                                                                                    
9DDB,HIST FAR EAST BURMA                                                                                           
9DDC,HIST FAR EAST CAMB/LAO/VIET                                                                                   
9DDD,HIST FAR EAST CHINA                                                                                           
9DDE,HIST FAR EAST FORMOSA                                                                                         
9DDF,HIST FAR EAST INDONESIA                                                                                       
9DDG,HIST FAR EAST JAPAN                                                                                           
9DDH,HIST FAR EAST KOREA                                                                                           
9DDI,HIST FAR EAST PACIFIC ISLES                                                                                   
9DDJ,HIST FAR EAST PHILIPPINES                                                                                     
9DDK,HIST FAR EAST THAILAND                                                                                        
9DDX,HIST FAR EAST OTHER                                                                                           
9DDY,HIST FAR EAST  INC OCEANIA                                                                                    
9DEY,HISTORY MEDIEVAL                                                                                              
9DFA,HIST MDL EAST AFGHANISTAN                                                                                     
9DFB,HIST MDL EAST INDIA                                                                                           
9DFC,HIST MDL EAST PAKISTAN                                                                                        
9DFX,HIST MDL EAST OTHER                                                                                           
9DFY,HIST MIDDLE EAST                                                                                              
9DGA,HIST NEAR EAST IRAN                                                                                           
9DGB,HIST NEAR EAST IRAQ                                                                                           
9DGC,HIST NEAR EAST ISRAEL                                                                                         
9DGD,HIST NEAR EAST JORDAN                                                                                         
9DGE,HIST NEAR EAST LEBANON                                                                                        
9DGF,HIST NEAR EAST SAUDI ARABIA                                                                                   
9DGH,HIST NEAR EAST TURKEY                                                                                         
9DGX,HIST NEAR EAST OTHER N EAST                                                                                   
9DGY,HIST NEAR EAST                                                                                                
9DHA,HIST CANADA                                                                                                   
9DHB,HIST CENTRAL AMERICA                                                                                          
9DHC,HIST MEXICO                                                                                                   
9DHD,HIST U S  TO 1789                                                                                             
9DHE,HIST U S /1789 1900/                                                                                          
9DHF,HIST U S /1900 PRESENT/                                                                                       
9DHG,HIST U S  ECONOMIC                                                                                            
9DHH,HIST U S  INTELLECTUAL                                                                                        
9DHI,HIST U S  MILITARY                                                                                            
9DHJ,HIST U S  POLITICAL                                                                                           
9DHK,AEROSP HIST                                                                                                   
9DHX,HIST OTHER NORTH AMERICAN                                                                                     
9DHY,HIST NORTH AMERICAN                                                                                           
9DIA,HIST ARGENTINA                                                                                                
9DIB,HIST BOLIVIA                                                                                                  
9DIC,HIST BRAZIL                                                                                                   
9DID,HIST CHILE                                                                                                    
9DIE,HIST COLOMBIA                                                                                                 
9DIF,HIST ECUADOR                                                                                                  
9DIG,HIST PARAGUAY                                                                                                 
9DIH,HIST PERU                                                                                                     
9DII,HIST URUGUAY                                                                                                  
9DIJ,HIST VENEZUELA                                                                                                
9DIX,HIST OTHER SOUTH AMERICAN                                                                                     
9DIY,HIST SOUTH AMERICAN                                                                                           
9DJA,HIST ACAD/DCPL/ECONOMIC THT                                                                                   
9DJB,HIST ACAD/DCPL/EDUCATION                                                                                      
9DJC,HIST ACAD/DCPL/PHILOSOPHY                                                                                     
9DJD,HIST ACAD/DCPL/POLOTICAL TH                                                                                   
9DJE,HIST ACAD/DCPL/RELIGION                                                                                       
9DJF,HIST ACAD/DCPL/SCIENCE                                                                                        
9DJG,HIST ACAD/DCPL/MILITARY                                                                                       
9DJH,HIST ACAD/DCPL/SOCIAL&CULTU                                                                                   
9DJX,HIST ACAD/DCPL/OTHER                                                                                          
9DJY,HIST ACAD/DCPL                                                                                                
9DKA,HIST ARMENIAN SSR                                                                                             
9DKB,HIST AZERBAIJAN SSR                                                                                           
9DKD,HIST ESTONIAN SSR                                                                                             
9DKE,HIST GEORGIAN SSR                                                                                             
9DKF,HIST KAZAKH SSR                                                                                               
9DKG,HIST KIRGHIZ SSR                                                                                              
9DKH,HIST LATVIAN SSR                                                                                              
9DKI,HIST LITHUANIAN SSR                                                                                           
9DKJ,HIST MOLDAVIAN SSR                                                                                            
9DKK,HIST RUSSIAN SFSR                                                                                             
9DKL,HIST TADJIK SSR                                                                                               
9DKM,HIST TURKMEN SSR                                                                                              
9DKN,HIST UKRAININA SSR                                                                                            
9DKO,HIST UZBEK SSR                                                                                                
9DKX,HIST OTHER USSR                                                                                               
9DKY,HIST USSR                                                                                                     
9DKZ,9DKZ-UNKNOWN                                                                                                  
9DLB,HIST FRANCE                                                                                                   
9DLC,HIST GERMANY AND AUSTRIA                                                                                      
9DLD,HIST IBERIAN PENINSULA                                                                                        
9DLE,HIST ITALY                                                                                                    
9DLF,HIST SCANDINAVIAN COUNTRIES                                                                                   
9DLG,HIST SWITZERLAND                                                                                              
9DLH,HIST UNITED KINGDOM&IRELAND                                                                                   
9DLX,HIST OTHER/WESTERN EUROPE                                                                                     
9DLY,HISTORY  WESTERN EUROPE                                                                                       
9DXY,HISTORY OTHER                                                                                                 
9DYT,9DYT-UNKNOWN                                                                                                  
9DYY,HISTORY                                                                                                       
9DZZ,9DZZ-UNKNOWN                                                                                                  
9EAB,POL SCI COMP GOV COUNTRY                                                                                      
9EAC,POL SCI COMP GOV INST/FUNC                                                                                    
9EAD,POL SCI COMP GOV TYPE SPEC                                                                                    
9EAE,DIPLOMACY                                                                                                     
9EAX,POL SCI COMP GOV OTHER                                                                                        
9EAY,POL SCI COMPARATIVE GOV                                                                                       
9EBY,POL SCI GEOPOLITICS                                                                                           
9ECA,POL SCI INT REL DEFENSE                                                                                       
9ECB,POL SCI INT REL FOREIGN                                                                                       
9ECC,POL SCI INT REL INT LAW                                                                                       
9ECD,POL SCI INT REL INT ORGN                                                                                      
9ECE,POL SCI INT REL INT POLIT                                                                                     
9ECX,POL SCI INT REL OTHER                                                                                         
9ECY,POL SCI INTERNATIONAL REL                                                                                     
9EDA,POL SCI THEORY BEH THOUGHT                                                                                    
9EDB,POL SCI THEORY BEH LOGISLA                                                                                    
9EDC,POL SCI THEORY BEH METHOD                                                                                     
9EDD,POL SCI THEORY BEH PERIOD                                                                                     
9EDE,POL SCI THEORY BEH PARTIES                                                                                    
9EDF,POL SCI THEORY BEH OPINION                                                                                    
9EDX,POL SCI THEORY BEH PTHER                                                                                      
9EDY,POL SCI THEORY BEHAVIOR                                                                                       
9EEA,POL SCI PUBLIC LAW CONSTIT                                                                                    
9EEB,POL SCI PUBLIC LAW JURISPR                                                                                    
9EEX,POL SCI PUBLIC LAW OTHER                                                                                      
9EEY,POL SCI PUBLIC LAW                                                                                            
9EFY,NATIONAL SECURITY STUDIES                                                                                     
9EGY,NATIONAL SECURITY STRATEGY                                                                                    
9EHY,NATIONAL RESOURCE STRATEGY                                                                                    
9EIY,GLOBAL SECURITY/INTEL STUDIES                                                                                 
9EMP,9EMP-UNKNOWN                                                                                                  
9EXY,POL SCI POL SCIENCE OTHER                                                                                     
9EYY,POLITICAL SCIENCE                                                                                             
9EZZ,9EZZ-UNKNOWN                                                                                                  
9FAA,PSYCH CLIN BEHAVIOR                                                                                           
9FAB,PSYCH CLIN CRIME DELINQ                                                                                       
9FAC,PSYCH CLIN EXPER PSYCHOPA                                                                                     
9FAD,PSYCH CLIN GROUP THERAPY                                                                                      
9FAE,PSYCH CLIN IND DIAGNOSIS                                                                                      
9FAF,PSYCH CLIN MENTAL DEFIC                                                                                       
9FAG,PSYCH CLIN OBJECTIVE TEST                                                                                     
9FAH,PSYCH CLIN PROJECTIVE TECH                                                                                    
9FAI,PSYCH CLIN SPEECH PATHOL                                                                                      
9FAX,PSYCH CLIN OTHER                                                                                              
9FAY,PSYCHOLOGY CLINICAL PSYCH                                                                                     
9FBA,PSYCH COUNSEL GUID DIRECT                                                                                     
9FBB,PSYCH COUNSEL GUID EDUCAT                                                                                     
9FBC,PSYCH COUNSEL GUID NON DIR                                                                                    
9FBD,PSYCH COUNSEL GUID REHABIL                                                                                    
9FBE,PSYCH COUNSEL GUID VOCAT                                                                                      
9FBX,PSYCH COUNSEL GUID OTHER                                                                                      
9FBY,PSYCH COUNSEL GUIDANCE                                                                                        
9FCA,PSYCH DEVELOP CHILD ADOLES                                                                                    
9FCB,PSYCH DEVELOP MATUR OLDAGE                                                                                    
9FCC,PSYCH DEVELOP NURS PRE SCH                                                                                    
9FCD,PSYCH DEVELOP SCHOOL PSYCH                                                                                    
9FCX,PSYCH DEVELOP OTHER                                                                                           
9FCY,PSYCH DEVELOPMENTAL PSYCH                                                                                     
9FDA,PSYCH EDUCATION MEASUREMNT                                                                                    
9FDB,PSYCH EDUCATION PROG LEARN                                                                                    
9FDC,PSYCH EDUCATION SCHOOL ADJ                                                                                    
9FDD,PSYCH EDUCATION SCH LEARN                                                                                     
9FDE,PSYCH EDUCATION SPEC EDUC                                                                                     
9FDF,PSYCH EDUCATION STUDENT                                                                                       
9FDX,PSYCH EDUCATION OTHER                                                                                         
9FDY,PSYCH EDUCATIONAL PSYCH                                                                                       
9FEA,PSYCH EXP ANIMAL LEARNING                                                                                     
9FEB,PSYCH EXP AUDITION                                                                                            
9FEC,PSYCH EXP CNS FUNCTIONS                                                                                       
9FED,PSYCH EXP COMM RESEARCH                                                                                       
9FEE,PSYCH EXP COMPARATIVE PSYC                                                                                    
9FEF,PSYCH EXP ENGINEERING PSYC                                                                                    
9FEG,PSYCH EXP HUMAN LEARNING                                                                                      
9FEH,PSYCH EXP MOTIVATION                                                                                          
9FEI,PSYCH EXP PERCEPTION                                                                                          
9FEJ,PSYCH EXP PHYSIOLOGICAL                                                                                       
9FEK,PSYCH EXP PSYCHOPHYSICS                                                                                       
9FEL,PSYCH EXP SENSORY PROCESS                                                                                     
9FEM,PSYCH EXP SYMBOLIC PROCESS                                                                                    
9FEN,PSYCH EXP VISION                                                                                              
9FEX,PSYCH EXP OTHER                                                                                               
9FEY,PSYCH EXPERIMENTAL                                                                                            
9FF2,9FF2-UNKNOWN                                                                                                  
9FF4,9FF4-UNKNOWN                                                                                                  
9FFA,PSYCH INDUST PERS EMPLOYEE                                                                                    
9FFB,PSYCH INDUST PERS HUM REL                                                                                     
9FFC,PSYCH INDUST PERS JOB ANAL                                                                                    
9FFD,PSYCH INDUST PERS LABOR                                                                                       
9FFE,PSYCH INDUST PERS MARKET                                                                                      
9FFF,PSYCH INDUST PERS PERF RTG                                                                                    
9FFG,PSYCH INDUST PERS RECRUIT                                                                                     
9FFH,PSYCH INDUST PERS TNG DEV                                                                                     
9FFX,PSYCH INDUST PERS OTHER                                                                                       
9FFY,PSYCH INDUSTRIAL PERSONNEL                                                                                    
9FGA,PSYCH PERSONALITY DEVELOP                                                                                     
9FGB,PSYCH PERSONALITY MEASURE                                                                                     
9FGC,PSYCH PERSONALITY THEORY                                                                                      
9FGD,PSYCH PERSONALITY STRUCTUR                                                                                    
9FGX,PSYCH PERSONALITY OTHER                                                                                       
9FGY,PSYCH PERSONALITY                                                                                             
9FHY,PSYCH PSYCHOLOGICAL WARFAR                                                                                    
9FIA,PSYCH PSYCHOMETR EXP DESGN                                                                                    
9FIB,PSYCH PSYCHOMETR FACT ANAL                                                                                    
9FIC,PSYCH PSYCHOMETR TESTING                                                                                      
9FID,PSYCH PSYCHOMETR STAT DEV                                                                                     
9FIE,PSYCH PSYCHOMETR TEST CON                                                                                     
9FIF,PSYCH PSYCHOMETR TEST THEO                                                                                    
9FIG,PSYCH PSYCHO PHARMACOLOGY                                                                                     
9FIX,PSYCH PSYCHOMETR OTHER                                                                                        
9FIY,PSYCH PSYCHOMETRICS                                                                                           
9FJA,PSYCH SOCIAL CULTURE PERS                                                                                     
9FJB,PSYCH SOCIAL GP INTERACT                                                                                      
9FJC,PSYCH SOCIAL LANGUAGE COMM                                                                                    
9FJD,PSYCH SOCIAL LEADERSHIP                                                                                       
9FJE,PSYCH SOCIAL MASS MEDIA                                                                                       
9FJF,PSYCH SOCIAL ATTITUDES                                                                                        
9FJG,PSYCH SOCIAL PERCEPTION                                                                                       
9FJH,PSYCH SOCIAL SURVEYS POLLS                                                                                    
9FJX,PSYCH SOCIAL OTHER                                                                                            
9FJY,PSYCH SOCIAL PSYCHOLOGY                                                                                       
9FKA,PSYCH BEHAVIORAL SCIENCES   HUMAN FACTORS                                                                     
9FKB,PSYCH BEHAVIORAL SCIENCES   SYSTEMS DESIGN                                                                    
9FKY,PSYCH BEHAVIORAL SCIENCES                                                                                     
9FXY,PSYCH PSYCHOLOGY OTHER                                                                                        
9FYC,9FYC-UNKNOWN                                                                                                  
9FYY,PSYCHOLOGY                                                                                                    
9FZZ,9FZZ-UNKNOWN                                                                                                  
9GAA,PUB ADM ADM POL AMER GOVT                                                                                     
9GAB,PUB ADM ADM POL COMMUNICAT                                                                                    
9GAC,PUB ADM POL LEADERSHIP                                                                                        
9GAD,PUB ADM ADM POL POL PARTIE                                                                                    
9GAE,PUB ADM ADM POL PRESSUR GP                                                                                    
9GAF,PUB ADM ADM POL PUB OPNION                                                                                    
9GAX,PUB ADM ADM POL OTHER                                                                                         
9GAY,PUB ADM ADM POLICY PUB POL                                                                                    
9GBA,PUB ADM CONST ADM LAW REG                                                                                     
9GBX,PUB ADM CONST ADM LAW OTH                                                                                     
9GBY,PUB ADM CONSTITUT ADM LAW                                                                                     
9GCA,PUB ADM INTERNAT COMP GOVT                                                                                    
9GCB,PUB ADM INTERNAT LAW REGUL                                                                                    
9GCC,PUB ADM INTERNAT REL POLIT                                                                                    
9GCX,PUB ADM INTERNAT OTHER                                                                                        
9GCY,PUB ADM INTERNATIONAL ADM                                                                                     
9GDA,PUB ADM ORG THEO ACCOUNTAB                                                                                    
9GDB,PUB ADM ORG THEO ORGANIZAT                                                                                    
9GDC,PUB ADM ORG THEO DECISION                                                                                     
9GDD,PUB ADM ORG THEO MGT FUNCT                                                                                    
9GDE,PUB ADM ORG THEO MOD CONTR                                                                                    
9GDF,PUB ADM ORG THEO MGT PROC                                                                                     
9GDG,PUB ADM ORG THEO SCIEN MGT                                                                                    
9GDX,PUB ADM ORG THEO OTHER                                                                                        
9GDY,PUB ADM ORG THEORY MGT CON                                                                                    
9GEA,PUB ADM BUD FIN LAW & REG                                                                                     
9GEB,PUB ADM BUD FIN BUS REG                                                                                       
9GEC,PUB ADM BUD FIN FIN MGT                                                                                       
9GED,PUB ADM BUD FIN FISCAL POL                                                                                    
9GEE,PUB ADM BUD FIN PUB FIN                                                                                       
9GEF,PUB ADM BUD FIN TAXATION                                                                                      
9GEX,PUB ADM BUD FIN OTHER                                                                                         
9GEY,PUB ADM BUDGETING FINANCE                                                                                     
9GFA,PUB ADM PER MGT ADM LEADER                                                                                    
9GFB,PUB ADM PER MGT PER ADM                                                                                       
9GFC,PUB ADM PER MGT RECRUITING                                                                                    
9GFX,PUB ADM PER MGT OTHER                                                                                         
9GFY,PUB ADM PERSONNEL MANAGEMT                                                                                    
9GXY,PUB ADM ADM OTHER                                                                                             
9GYY,PUBLIC ADMINISTRATION                                                                                         
9GZZ,9GZZ-UNKNOWN                                                                                                  
9H1E,9H1E-UNKNOWN                                                                                                  
9HA0,9HA0-UNKNOWN                                                                                                  
9HAA,CRIMINOL CORRECTNL ADMIN                                                                                      
9HAB,CRIMINOLOGY ANTHROPOLOGY                                                                                      
9HAC,CRIMINOL CRIMNL INVESTIG                                                                                      
9HAD,CRIMINOL CRIMINAL PSYCH                                                                                       
9HAE,9HAE-UNKNOWN                                                                                                  
9HAF,CRIMINOLOGY EVIDENCE ID                                                                                       
9HAG,CRIMINOL INDUST SECURITY                                                                                      
9HAH,CRIMINOLOGY PENAL CODE                                                                                        
9HAI,CRIMINOLOGY PENOLOGY                                                                                          
9HAJ,CRIMINOLOGY POLICE ADMIN                                                                                      
9HAK,CRIMINOLOGY PREVENT&CONTROL                                                                                   
9HAL,CRIMINOL TRAFFIC ENFRCMT                                                                                      
9HAM,FORENSIC SCIENCE                                                                                              
9HAN,ECONOMIC CRIME                                                                                                
9HAO,SECURITY ADMINISTRATION                                                                                       
9HAP,HOMELAND SECURITY                                                                                             
9HAX,CRIMINOLOGY OTHER                                                                                             
9HAY,CRIMINOLOGY                                                                                                   
9HBA,SOCIOLOGY DEMOGRAPHY LABOR                                                                                    
9HBB,SOCIOLOGY DEMOGRAPHY STRUC                                                                                    
9HBC,SOCIOLOGY DEMOGRAPHY TREND                                                                                    
9HBD,SOCIOLOGY DEMOGRAPHY STAT                                                                                     
9HBX,SOCIOLOGY DEMOGRAPHY OTHER                                                                                    
9HBY,SOCIOLOGY DEMOGRAPHY                                                                                          
9HCA,SOCIOLOGY FAMILY ADOLESCEN                                                                                    
9HCB,SOCIOLOGY FAMILY AGING RET                                                                                    
9HCC,SOCIOLOGY FAMILY CONSUMER                                                                                     
9HCD,SOCIOLOGY FAMILY FAMILY                                                                                       
9HCE,SOCIOLOGY FAMILY MARRIAGE                                                                                     
9HCF,SOCIOLOGY FAMILY SEX BEHAV                                                                                    
9HCX,SOCIOLOGY FAMILY OTHER                                                                                        
9HCY,SOCIOLOGY FAMILY                                                                                              
9HDA,SOCIOL RURAL URB COMMUNITY                                                                                    
9HDB,SOCIOL RURAL URB HUM ECOL                                                                                     
9HDC,SOCIOL RURAL URB RURAL SOC                                                                                    
9HDD,SOCIOL RURAL URB URBAN SOC                                                                                    
9HDX,SOCIOL RURAL URB OTHER                                                                                        
9HDY,SOCIOLOGY RURAL URBAN SOC                                                                                     
9HEA,SOCIAL SOC CHGE DEV CULTUR                                                                                    
9HEB,SOCIAL SOC CHGE DEV ECONOM                                                                                    
9HEC,SOCIAL SOC CHGE DEV HISTOR                                                                                    
9HED,SOCIAL SOC CHGE DEV SOCIAL                                                                                    
9HEX,SOCIAL SOC CHGE DEV OTHER                                                                                     
9HEY,SOCIAL SOCIAL CHANGE & DEV                                                                                    
9HFA,SOCIAL SOC INSTIT EDUCATIO                                                                                    
9HFB,SOCIAL SOC INSTIT LEGAL SOC                                                                                   
9HFC,SOCIAL SOC INSTIT LEISURE                                                                                     
9HFD,SOCIAL SOC INSTIT MEDICAL                                                                                     
9HFE,SOCIAL SOC INSTIT MILITARY                                                                                    
9HFF,SOCIAL SOC INSTIT OCCUPATIO                                                                                   
9HFG,SOCIAL SOC INSTIT POLITICAL                                                                                   
9HFH,SOCIAL SOC INSTIT RELIGION                                                                                    
9HFI,SOCIAL SOC INSTIT SCIENCE                                                                                     
9HFJ,SOCIAL SOC INSTIT ARTS                                                                                        
9HFX,SOCIAL SOC INSTIT OTHER                                                                                       
9HFY,SOCIOLOGY SOCIAL INSTITUT                                                                                     
9HGA,SOCIAL SOC ORGN INDUSTRIAL                                                                                    
9HGB,SOCIAL SC ORGN LARGE SCALE                                                                                    
9HGC,SOCIAL SC ORGN SMALL SCALE                                                                                    
9HGD,SOCIOL SOC ORGN VOL ASSNS                                                                                     
9HGX,SOCIOL SOC ORGN OTHER                                                                                         
9HGY,SOCIAL SOC ORGNANIZATION                                                                                      
9HHA,SOCIOL SOC PROB CORRECTIONS                                                                                   
9HHB,SOCIOL SOC PROB CRIME DELIN                                                                                   
9HHC,SOCIOL SOC PROB DEVIANCE                                                                                      
9HHD,SOCIOL SOC PROB MENTAL HLTH                                                                                   
9HHE,SOCIOL SOC PROB PSYCHIATRY                                                                                    
9HHX,SOCIOL SOC PROB OTHER                                                                                         
9HHY,SOCIOL SOC PROBLEMS                                                                                           
9HIA,SOCIAL SOC PSYC COLLECT BEH                                                                                   
9HIB,SOCIAL SOC PSYC PUB OPINION                                                                                   
9HIC,SOCIAL SOC PSYC ROLE THEORY                                                                                   
9HID,SOCIAL SOC PSYC SMALL GROUP                                                                                   
9HIE,SOCIOL SOC PSYC SOC/PERSONA                                                                                   
9HIX,SOCIOL SOC PSYC OTHER                                                                                         
9HIY,SOCIAL SOC PSYCHOLOGY                                                                                         
9HJA,SOCIOL SOC STRUC INTERGROUP                                                                                   
9HJB,SOCIOL SOC STRUC INTERNATIO                                                                                   
9HJC,SOCIOL SOC STRUC STRATIFICA                                                                                   
9HJH,9HJH-UNKNOWN                                                                                                  
9HJX,SOCIOL SOC STRUC OTHER                                                                                        
9HJY,SOCIOL SOC STRUCTURE                                                                                          
9HKA,SOCIOL SOC INST HIST OF SOC                                                                                   
9HKB,SOCIOL SOC INST MATHEMATIC                                                                                    
